name	bin	coverage	relative	mean
bin_1	1	1.142126685321801	0.9875009267033635	1.1565828997595318
bin_2	2	1.143017044009158	0.988270745008253	1.1565828997595318
bin_3	3	1.1412872042737217	0.9867750980158964	1.1565828997595318
bin_4	4	1.1525057237344187	0.9964748086575024	1.1565828997595318
bin_5	5	1.1648181124395829	1.007120296073687	1.1565828997595318
bin_6	6	1.1777410328160773	1.0182936588989382	1.1565828997595318
bin_7	7	1.1743067921648436	1.0153243597229362	1.1565828997595318
bin_8	8	1.1671839226659884	1.0091658132838215	1.1565828997595318
bin_9	9	1.169524294072755	1.0111893356852448	1.1565828997595318
bin_10	10	1.1533197659628593	0.9971786425362584	1.1565828997595318
bin_11	11	1.1545917069447977	0.9982783829718146	1.1565828997595318
bin_12	12	1.1552785550750446	0.9988722428070151	1.1565828997595318
bin_13	13	1.150928516916815	0.9951111305174127	1.1565828997595318
bin_14	14	1.1459170694479777	0.9907781532013212	1.1565828997595318
bin_15	15	1.1486899007886033	0.9931755873508337	1.1565828997595318
bin_16	16	1.1560417196642077	0.9995320870683488	1.1565828997595318
bin_17	17	1.1502416687865682	0.9945172706822122	1.1565828997595318
bin_18	18	1.1425082676163827	0.9878308488340305	1.1565828997595318
bin_19	19	1.1474433986263037	0.9920978417239886	1.1565828997595318
bin_20	20	1.147417959806665	0.9920758469152775	1.1565828997595318
bin_21	21	1.165352327651997	1.0075821870566204	1.1565828997595318
bin_22	22	1.1703383363011957	1.0118931695640008	1.1565828997595318
bin_23	23	1.167540066140931	1.009473740605777	1.1565828997595318
bin_24	24	1.169193589417451	1.0109034031720001	1.1565828997595318
bin_25	25	1.176011193080641	1.0167980119065816	1.1565828997595318
bin_26	26	1.1888069193589417	1.0278614006882771	1.1565828997595318
bin_27	27	1.194276265581277	1.0325902845611692	1.1565828997595318
bin_28	28	1.1945306537776648	1.0328102326482804	1.1565828997595318
bin_29	29	1.185830577461206	1.0252880080690758	1.1565828997595318
bin_30	30	1.185703383363012	1.02517803402552	1.1565828997595318
bin_31	31	1.174815568557619	1.0157642558971587	1.1565828997595318
bin_32	32	1.1589926227423049	1.0020834848788394	1.1565828997595318
bin_33	33	1.1614445574771108	1.0042034667109379	1.1565828997595318
bin_34	34	1.1739572736520854	1.0150221604488239	1.1565828997595318
bin_35	35	1.1675228891149543	1.00945888907548	1.1565828997595318
bin_36	36	1.1790183112919634	1.01939801421679	1.1565828997595318
bin_37	37	1.1848677517802646	1.0244555336471026	1.1565828997595318
bin_38	38	1.1758901322482198	1.0166933407823187	1.1565828997595318
bin_39	39	1.1708036622583926	1.0122954977994378	1.1565828997595318
bin_40	40	1.1597151576805698	1.0027082000967584	1.1565828997595318
bin_41	41	1.150940996948118	0.9951219209512895	1.1565828997595318
bin_42	42	1.159384537131231	1.0024223403028714	1.1565828997595318
bin_43	43	1.1818413021363174	1.0218388170722887	1.1565828997595318
bin_44	44	1.193794506612411	1.0321737480820579	1.1565828997595318
bin_45	45	1.1950661241098677	1.033273208827778	1.1565828997595318
bin_46	46	1.1910732451678534	1.0298209020862168	1.1565828997595318
bin_47	47	1.1925228891149542	1.0310742873363377	1.1565828997595318
bin_48	48	1.1850966429298067	1.0246534365813322	1.1565828997595318
bin_49	49	1.1803916581892167	1.0205854318221677	1.1565828997595318
bin_50	50	1.1736012207527975	1.014714311440022	1.1565828997595318
bin_51	51	1.1718718209562564	1.013219044825843	1.1565828997595318
bin_52	52	1.1709816887080366	1.0124494223038387	1.1565828997595318
bin_53	53	1.1767802644964396	1.0174629633043226	1.1565828997595318
bin_54	54	1.1833672431332656	1.0231581699671528	1.1565828997595318
bin_55	55	1.1899033570701933	1.0288093982001543	1.1565828997595318
bin_56	56	1.1894455747711088	1.028413592331695	1.1565828997595318
bin_57	57	1.1754832146490335	1.016341513343688	1.1565828997595318
bin_58	58	1.1703458799593083	1.0118996919309788	1.1565828997595318
bin_59	59	1.1813835198372329	1.0214430112038293	1.1565828997595318
bin_60	60	1.1972278738555442	1.0351422920955022	1.1565828997595318
bin_61	61	1.19852492370295	1.0362637420561367	1.1565828997595318
bin_62	62	1.1925991861648015	1.0311402549810809	1.1565828997595318
bin_63	63	1.1963377416073244	1.034372669573498	1.1565828997595318
bin_64	64	1.1903102746693794	1.0291612256387848	1.1565828997595318
bin_65	65	1.197761953204476	1.0356040656087047	1.1565828997595318
bin_66	66	1.2113428280773144	1.0473463063729958	1.1565828997595318
bin_67	67	1.201907426246185	1.0391883076397523	1.1565828997595318
bin_68	68	1.1905391658189217	1.0293591285730144	1.1565828997595318
bin_69	69	1.1881230925737538	1.0272701531561461	1.1565828997595318
bin_70	70	1.1948880976602239	1.0331192843233772	1.1565828997595318
bin_71	71	1.1909206510681587	1.0296889667967304	1.1565828997595318
bin_72	72	1.207527975584944	1.0440479241358351	1.1565828997595318
bin_73	73	1.198143438453713	1.0359339038324207	1.1565828997595318
bin_74	74	1.1801881993896235	1.0204095181028525	1.1565828997595318
bin_75	75	1.1747456765005087	1.0157038261111704	1.1565828997595318
bin_76	76	1.1782807731434384	1.0187603269842722	1.1565828997595318
bin_77	77	1.1814343845371311	1.0214869896336582	1.1565828997595318
bin_78	78	1.1822482197355035	1.022190644510919	1.1565828997595318
bin_79	79	1.1694557477110885	1.0111300694089747	1.1565828997595318
bin_80	80	1.1589267548321465	1.002026534434412	1.1565828997595318
bin_81	81	1.1569175991861649	1.0002893864561742	1.1565828997595318
bin_82	82	1.1666073245167854	1.0086672773385617	1.1565828997595318
bin_83	83	1.1658697863682603	1.0080295901060439	1.1565828997595318
bin_84	84	1.1611393692777212	1.003939596131965	1.1565828997595318
bin_85	85	1.1613173957273653	1.004093520636366	1.1565828997595318
bin_86	86	1.153967446592065	0.9977386375261034	1.1565828997595318
bin_87	87	1.1619277721261445	1.0046212617943115	1.1565828997595318
bin_88	88	1.1585198372329604	1.0016747069957816	1.1565828997595318
bin_89	89	1.1506612410986776	0.9948800395872313	1.1565828997595318
bin_90	90	1.1537894201424213	0.9975847130217027	1.1565828997595318
bin_91	91	1.1548067141403866	0.9984642816182787	1.1565828997595318
bin_92	92	1.1505466564963132	0.9947809679146444	1.1565828997595318
bin_93	93	1.151258581235698	0.9953965093855868	1.1565828997595318
bin_94	94	1.1727180269514366	1.0139506880097047	1.1565828997595318
bin_95	95	1.1696923468090517	1.0113346367582	1.1565828997595318
bin_96	96	1.1574624968217646	1.0007605136323698	1.1565828997595318
bin_97	97	1.157030256801424	1.000386792025012	1.1565828997595318
bin_98	98	1.1565725908975337	0.9999910867936919	1.1565828997595318
bin_99	99	1.1637426900584795	1.0061904687510392	1.1565828997595318
bin_100	100	1.1669972031528095	1.009004372618204	1.1565828997595318
bin_101	101	1.159166031019578	1.0022334164378388	1.1565828997595318
bin_102	102	1.1581235697940504	1.0013320878553875	1.1565828997595318
bin_103	103	1.1630816170861937	1.0056188945280213	1.1565828997595318
bin_104	104	1.1638443935926774	1.0062784032468883	1.1565828997595318
bin_105	105	1.1749555047037885	1.0158852469183806	1.1565828997595318
bin_106	106	1.1794304602084922	1.0197543647357321	1.1565828997595318
bin_107	107	1.1853801169590643	1.0248985327428928	1.1565828997595318
bin_108	108	1.1806763285024156	1.0208315623098811	1.1565828997595318
bin_109	109	1.1676837020086448	1.009597930465184	1.1565828997595318
bin_110	110	1.1688532926519197	1.0106091771674466	1.1565828997595318
bin_111	111	1.1763285024154588	1.0170723626123406	1.1565828997595318
bin_112	112	1.165725908975337	1.0079051914200927	1.1565828997595318
bin_113	113	1.1560132214594456	0.9995074470665228	1.1565828997595318
bin_114	114	1.1554792779049072	0.9990457909633161	1.1565828997595318
bin_115	115	1.1472921434019832	0.9919670640474796	1.1565828997595318
bin_116	116	1.1494533435036867	0.9938356720842687	1.1565828997595318
bin_117	117	1.1487922705314009	0.9932640978612509	1.1565828997595318
bin_118	118	1.1567505720823799	1.0001449721614273	1.1565828997595318
bin_119	119	1.1551741673023137	0.9987819874757694	1.1565828997595318
bin_120	120	1.1615560640732265	1.004299877090288	1.1565828997595318
bin_121	121	1.1679888126112383	1.009861733952731	1.1565828997595318
bin_122	122	1.1729468599033817	1.0141485406253647	1.1565828997595318
bin_123	123	1.181718789727943	1.0217328908923324	1.1565828997595318
bin_124	124	1.18372743452835	1.0234695971853482	1.1565828997595318
bin_125	125	1.1743961352657004	1.0154016071912115	1.1565828997595318
bin_126	126	1.1704296974319857	1.0119721618531043	1.1565828997595318
bin_127	127	1.171116196287821	1.0125657197000844	1.1565828997595318
bin_128	128	1.191482329010933	1.0301746024938268	1.1565828997595318
bin_129	129	1.2098652428171879	1.0460687626185154	1.1565828997595318
bin_130	130	1.221154335113145	1.0558294916577433	1.1565828997595318
bin_131	131	1.2317569285532672	1.0649966628499912	1.1565828997595318
bin_132	132	1.222044241037376	1.056598918496421	1.1565828997595318
bin_133	133	1.2277396389524535	1.0615232502639596	1.1565828997595318
bin_134	134	1.228985507246377	1.0626004478381088	1.1565828997595318
bin_135	135	1.2084159674548691	1.0448156960526687	1.1565828997595318
bin_136	136	1.183346046275108	1.0231398428259146	1.1565828997595318
