bin	coverage	relative	background.mean
1	0.28865139949109414	0.9934324082628574	0.2905596768237486
2	0.2872264631043257	0.9885282990542256	0.2905596768237486
3	0.28458015267175574	0.9794206676667664	0.2905596768237486
4	0.2835114503816794	0.9757425857602925	0.2905596768237486
5	0.2868447837150127	0.987214698373342	0.2905596768237486
6	0.2827989821882952	0.9732905311559766	0.2905596768237486
7	0.279058524173028	0.9604172444833179	0.2905596768237486
8	0.2818066157760814	0.9698751693856792	0.2905596768237486
9	0.285852417302799	0.9837993366030447	0.2905596768237486
10	0.2872264631043257	0.9885282990542256	0.2905596768237486
11	0.28580152671755726	0.9836241898455937	0.2905596768237486
12	0.28417302798982186	0.9780194936071571	0.2905596768237486
13	0.27994910941475826	0.9634823127387127	0.2905596768237486
14	0.28435114503816794	0.9786325072582363	0.2905596768237486
15	0.2916539440203562	1.0037660669524746	0.2905596768237486
16	0.2926208651399491	1.0070938553440463	0.2905596768237486
17	0.2905089058524173	0.9998252649098239	0.2905596768237486
18	0.2863613231552163	0.98555080417755625	0.2905596768237486
19	0.2917302798982188	1.0040287870886513	0.2905596768237486
20	0.29358778625954196	1.0104216437356177	0.2905596768237486
21	0.28870229007633585	0.9936075550203085	0.2905596768237486
22	0.28951653944020356	0.9964099031395268	0.2905596768237486
23	0.2916539440203562	1.0037660669524746	0.2905596768237486
24	0.2883206106870229	0.9922939543394251	0.2905596768237486
25	0.28564885496183207	0.9830987495732403	0.2905596768237486
26	0.28564885496183207	0.9830987495732403	0.2905596768237486
27	0.28814249363867683	0.991680940688346	0.2905596768237486
28	0.291704834605598	1.0039412137099257	0.2905596768237486
29	0.2946055979643766	1.0139245788846405	0.2905596768237486
30	0.29091603053435117	1.0012264389694332	0.2905596768237486
31	0.29381679389312976	1.011209804144148	0.2905596768237486
32	0.29755725190839694	1.0240830908168066	0.2905596768237486
33	0.295852417302799	1.0182156744421935	0.2905596768237486
34	0.2904325699745547	0.9995625447736473	0.2905596768237486
35	0.2969465648854962	1.021981329727393	0.2905596768237486
36	0.3010432569974555	1.0360806437022096	0.2905596768237486
37	0.29982188295165396	1.0318771215233824	0.2905596768237486
38	0.2965903307888041	1.0207553024252352	0.2905596768237486
39	0.2961323155216285	1.0191789816081749	0.2905596768237486
40	0.291704834605598	1.0039412137099257	0.2905596768237486
41	0.29353689567430025	1.0102464969781666	0.2905596768237486
42	0.2919338422391857	1.0047293741184558	0.2905596768237486
43	0.29025445292620866	0.9989495311225683	0.2905596768237486
44	0.2885241730279898	0.9929945413692296	0.2905596768237486
45	0.2778117048346056	0.956126148925765	0.2905596768237486
46	0.2744529262086514	0.9445664629339898	0.2905596768237486
47	0.2725445292620865	0.9379984595295721	0.2905596768237486
48	0.27076335877862595	0.9318683230187822	0.2905596768237486
49	0.2784478371501272	0.9583154833939042	0.2905596768237486
50	0.2870737913486005	0.9880028587818721	0.2905596768237486
51	0.29811704834605596	1.026009705148769	0.2905596768237486
52	0.2951145038167939	1.0156760464591519	0.2905596768237486
53	0.29330788804071245	1.0094583365696366	0.2905596768237486
54	0.2993384223918575	1.0302132273275963	0.2905596768237486
55	0.2947582697201018	1.014450019156994	0.2905596768237486
